object,split,image,mask,mask_height,mask_width,defect_pixels,total_pixels,defect_area_ratio
candle,train,candle/Data/Images/Anomaly/053.JPG,candle/Data/Masks/Anomaly/053.png,1168,1284,1686,1499712,0.0011242158494430931
candle,train,candle/Data/Images/Anomaly/037.JPG,candle/Data/Masks/Anomaly/037.png,1168,1284,1469,1499712,0.0009795214014424103
candle,train,candle/Data/Images/Anomaly/065.JPG,candle/Data/Masks/Anomaly/065.png,1168,1284,6580,1499712,0.004387509068407801
candle,train,candle/Data/Images/Anomaly/051.JPG,candle/Data/Masks/Anomaly/051.png,1168,1284,88,1499712,5.8677932829769986e-05
candle,train,candle/Data/Images/Anomaly/004.JPG,candle/Data/Masks/Anomaly/004.png,1168,1284,4993,1499712,0.003329305893398199
candle,train,candle/Data/Images/Anomaly/020.JPG,candle/Data/Masks/Anomaly/020.png,1168,1284,415,1499712,0.00027671979686766526
candle,train,candle/Data/Images/Anomaly/038.JPG,candle/Data/Masks/Anomaly/038.png,1168,1284,1949,1499712,0.0012995828532411555
candle,train,candle/Data/Images/Anomaly/009.JPG,candle/Data/Masks/Anomaly/009.png,1168,1284,4709,1499712,0.0031399362010839415
candle,train,candle/Data/Images/Anomaly/010.JPG,candle/Data/Masks/Anomaly/010.png,1168,1284,4701,1499712,0.0031346018435539622
candle,train,candle/Data/Images/Anomaly/081.JPG,candle/Data/Masks/Anomaly/081.png,1168,1284,3088,1499712,0.0020590620065719283
candle,train,candle/Data/Images/Anomaly/044.JPG,candle/Data/Masks/Anomaly/044.png,1168,1284,140,1499712,9.335125677463406e-05
candle,train,candle/Data/Images/Anomaly/036.JPG,candle/Data/Masks/Anomaly/036.png,1168,1284,1865,1499712,0.001243572099176375
candle,train,candle/Data/Images/Anomaly/084.JPG,candle/Data/Masks/Anomaly/084.png,1168,1284,1290,1499712,0.0008601651517091282
candle,train,candle/Data/Images/Anomaly/050.JPG,candle/Data/Masks/Anomaly/050.png,1168,1284,2761,1499712,0.0018410201425340333
candle,train,candle/Data/Images/Anomaly/096.JPG,candle/Data/Masks/Anomaly/096.png,1168,1284,3223,1499712,0.0021490792898903256
candle,train,candle/Data/Images/Anomaly/090.JPG,candle/Data/Masks/Anomaly/090.png,1168,1284,6968,1499712,0.004646225408611787
candle,train,candle/Data/Images/Anomaly/066.JPG,candle/Data/Masks/Anomaly/066.png,1168,1284,13415,1499712,0.008945050783083686
candle,train,candle/Data/Images/Anomaly/016.JPG,candle/Data/Masks/Anomaly/016.png,1168,1284,1066,1499712,0.0007108031408697137
candle,train,candle/Data/Images/Anomaly/080.JPG,candle/Data/Masks/Anomaly/080.png,1168,1284,1280,1499712,0.0008534972047966543
candle,train,candle/Data/Images/Anomaly/033.JPG,candle/Data/Masks/Anomaly/033.png,1168,1284,2400,1499712,0.0016003072589937269
candle,train,candle/Data/Images/Anomaly/024.JPG,candle/Data/Masks/Anomaly/024.png,1168,1284,1830,1499712,0.0012202342849827166
candle,train,candle/Data/Images/Anomaly/052.JPG,candle/Data/Masks/Anomaly/052.png,1168,1284,124,1499712,8.268254171467589e-05
candle,train,candle/Data/Images/Anomaly/091.JPG,candle/Data/Masks/Anomaly/091.png,1168,1284,21517,1499712,0.014347421371570008
candle,train,candle/Data/Images/Anomaly/099.JPG,candle/Data/Masks/Anomaly/099.png,1168,1284,5593,1499712,0.003729382708146631
candle,train,candle/Data/Images/Anomaly/064.JPG,candle/Data/Masks/Anomaly/064.png,1168,1284,6866,1499712,0.004578212350104554
candle,train,candle/Data/Images/Anomaly/005.JPG,candle/Data/Masks/Anomaly/005.png,1168,1284,2545,1499712,0.0016969924892245977
candle,train,candle/Data/Images/Anomaly/058.JPG,candle/Data/Masks/Anomaly/058.png,1168,1284,37,1499712,2.467140357615329e-05
candle,train,candle/Data/Images/Anomaly/076.JPG,candle/Data/Masks/Anomaly/076.png,1168,1284,987,1499712,0.0006581263602611702
candle,train,candle/Data/Images/Anomaly/039.JPG,candle/Data/Masks/Anomaly/039.png,1168,1284,3579,1499712,0.0023864581999743953
candle,train,candle/Data/Images/Anomaly/079.JPG,candle/Data/Masks/Anomaly/079.png,1168,1284,2237,1499712,0.001491619724320403
candle,train,candle/Data/Images/Anomaly/023.JPG,candle/Data/Masks/Anomaly/023.png,1168,1284,3705,1499712,0.002470474331071566
candle,train,candle/Data/Images/Anomaly/094.JPG,candle/Data/Masks/Anomaly/094.png,1168,1284,20344,1499712,0.013565271198736824
candle,train,candle/Data/Images/Anomaly/030.JPG,candle/Data/Masks/Anomaly/030.png,1168,1284,6755,1499712,0.004504198139376093
candle,train,candle/Data/Images/Anomaly/073.JPG,candle/Data/Masks/Anomaly/073.png,1168,1284,440,1499712,0.0002933896641488499
candle,train,candle/Data/Images/Anomaly/025.JPG,candle/Data/Masks/Anomaly/025.png,1168,1284,2068,1499712,0.0013789314214995947
candle,train,candle/Data/Images/Anomaly/047.JPG,candle/Data/Masks/Anomaly/047.png,1168,1284,52,1499712,3.467332394486408e-05
candle,train,candle/Data/Images/Anomaly/031.JPG,candle/Data/Masks/Anomaly/031.png,1168,1284,2366,1499712,0.0015776362394913158
candle,train,candle/Data/Images/Anomaly/045.JPG,candle/Data/Masks/Anomaly/045.png,1168,1284,70,1499712,4.667562838731703e-05
candle,train,candle/Data/Images/Anomaly/019.JPG,candle/Data/Masks/Anomaly/019.png,1168,1284,3024,1499712,0.002016387146332096
candle,train,candle/Data/Images/Anomaly/087.JPG,candle/Data/Masks/Anomaly/087.png,1168,1284,4058,1499712,0.002705852857081893
candle,train,candle/Data/Images/Anomaly/042.JPG,candle/Data/Masks/Anomaly/042.png,1168,1284,187,1499712,0.00012469060726326122
candle,train,candle/Data/Images/Anomaly/068.JPG,candle/Data/Masks/Anomaly/068.png,1168,1284,22677,1499712,0.015120903213416977
candle,train,candle/Data/Images/Anomaly/095.JPG,candle/Data/Masks/Anomaly/095.png,1168,1284,3573,1499712,0.0023824574318269108
candle,train,candle/Data/Images/Anomaly/021.JPG,candle/Data/Masks/Anomaly/021.png,1168,1284,2722,1499712,0.0018150151495753852
candle,train,candle/Data/Images/Anomaly/007.JPG,candle/Data/Masks/Anomaly/007.png,1168,1284,2585,1499712,0.0017236642768744931
candle,train,candle/Data/Images/Anomaly/067.JPG,candle/Data/Masks/Anomaly/067.png,1168,1284,17811,1499712,0.011876280245807195
candle,train,candle/Data/Images/Anomaly/046.JPG,candle/Data/Masks/Anomaly/046.png,1168,1284,107,1499712,7.134703196347032e-05
candle,train,candle/Data/Images/Anomaly/082.JPG,candle/Data/Masks/Anomaly/082.png,1168,1284,1418,1499712,0.0009455148721887936
candle,train,candle/Data/Images/Anomaly/011.JPG,candle/Data/Masks/Anomaly/011.png,1168,1284,6583,1499712,0.004389509452481543
candle,train,candle/Data/Images/Anomaly/006.JPG,candle/Data/Masks/Anomaly/006.png,1168,1284,6090,1499712,0.004060779669696582
candle,train,candle/Data/Images/Anomaly/041.JPG,candle/Data/Masks/Anomaly/041.png,1168,1284,480,1499712,0.00032006145179874534
candle,train,candle/Data/Images/Anomaly/086.JPG,candle/Data/Masks/Anomaly/086.png,1168,1284,10835,1499712,0.007224720479665429
candle,train,candle/Data/Images/Anomaly/088.JPG,candle/Data/Masks/Anomaly/088.png,1168,1284,13050,1499712,0.00870167072077839
candle,train,candle/Data/Images/Anomaly/070.JPG,candle/Data/Masks/Anomaly/070.png,1168,1284,1765,1499712,0.0011768926300516366
candle,train,candle/Data/Images/Anomaly/018.JPG,candle/Data/Masks/Anomaly/018.png,1168,1284,3321,1499712,0.0022144251696325696
candle,train,candle/Data/Images/Anomaly/078.JPG,candle/Data/Masks/Anomaly/078.png,1168,1284,1112,1499712,0.0007414756966670934
candle,train,candle/Data/Images/Anomaly/071.JPG,candle/Data/Masks/Anomaly/071.png,1168,1284,913,1499712,0.0006087835531088636
candle,train,candle/Data/Images/Anomaly/059.JPG,candle/Data/Masks/Anomaly/059.png,1168,1284,30,1499712,2.0003840737421584e-05
candle,train,candle/Data/Images/Anomaly/043.JPG,candle/Data/Masks/Anomaly/043.png,1168,1284,111,1499712,7.401421072845987e-05
candle,train,candle/Data/Images/Anomaly/061.JPG,candle/Data/Masks/Anomaly/061.png,1168,1284,7928,1499712,0.005286348312209277
candle,test,candle/Data/Images/Anomaly/022.JPG,candle/Data/Masks/Anomaly/022.png,1168,1284,1969,1499712,0.0013129187470661034
candle,test,candle/Data/Images/Anomaly/014.JPG,candle/Data/Masks/Anomaly/014.png,1168,1284,2818,1499712,0.0018790274399351342
candle,test,candle/Data/Images/Anomaly/035.JPG,candle/Data/Masks/Anomaly/035.png,1168,1284,2230,1499712,0.001486952161481671
candle,test,candle/Data/Images/Anomaly/093.JPG,candle/Data/Masks/Anomaly/093.png,1168,1284,3733,1499712,0.0024891445824264924
candle,test,candle/Data/Images/Anomaly/056.JPG,candle/Data/Masks/Anomaly/056.png,1168,1284,44,1499712,2.9338966414884993e-05
candle,test,candle/Data/Images/Anomaly/028.JPG,candle/Data/Masks/Anomaly/028.png,1168,1284,989,1499712,0.000659459949643665
candle,test,candle/Data/Images/Anomaly/098.JPG,candle/Data/Masks/Anomaly/098.png,1168,1284,18387,1499712,0.01226035398796569
